ENTITY_EMAIL_ID,OBJ_ID,ENTITY_ID,ENT_TYP_CD,EMAIL_TYP_CD,EMAIL_ADDR,DFLT_IND,ACTV_IND
OLE1000,OLE1000,OLE1018,PERSON,WRK,test@email.edu,Y,Y
OLE1001,OLE1001,OLE2943,PERSON,WRK,test@email.edu,Y,Y
OLE1002,OLE1002,OLE3222,PERSON,WRK,test@email.edu,Y,Y
OLE1003,OLE1003,OLE3626,PERSON,WRK,test@email.edu,Y,Y
OLE1004,OLE1004,OLE3776,PERSON,WRK,test@email.edu,Y,Y
OLE1005,OLE1005,OLE3803,PERSON,WRK,test@email.edu,Y,Y
OLE1006,OLE1006,OLE3990,PERSON,WRK,test@email.edu,Y,Y
OLE1100,OLE1100,OLE2743,PERSON,WRK,test@email.edu,Y,Y
OLE1101,OLE1101,OLE2790,PERSON,WRK,test@email.edu,Y,Y
OLE1102,OLE1102,OLE2835,PERSON,WRK,test@email.edu,Y,Y
OLE1103,OLE1103,OLE2978,PERSON,WRK,test@email.edu,Y,Y
OLE1104,OLE1104,OLE3094,PERSON,WRK,test@email.edu,Y,Y
OLE1105,OLE1105,OLE4047,PERSON,WRK,test@email.edu,Y,Y
OLE1106,OLE1106,OLE4048,PERSON,WRK,test@email.edu,Y,Y
OLE1107,OLE1107,OLE4049,PERSON,WRK,test@email.edu,Y,Y
OLE1108,OLE1108,OLE4050,PERSON,WRK,test@email.edu,Y,Y
OLE1109,OLE1109,OLE4051,PERSON,WRK,test@email.edu,Y,Y
OLE1110,OLE1110,OLE4052,PERSON,WRK,test@email.edu,Y,Y
OLE1111,OLE1111,OLE4058,PERSON,WRK,test@email.edu,Y,Y
OLE1112,OLE1112,OLE4059,PERSON,WRK,test@email.edu,Y,Y
OLE1113,OLE1113,OLE4060,PERSON,WRK,test@email.edu,Y,Y
OLE1114,OLE1114,OLE4061,PERSON,WRK,test@email.edu,Y,Y
OLE1115,OLE1115,OLE4062,PERSON,WRK,test@email.edu,Y,Y
OLE1116,OLE1116,OLE4068,PERSON,WRK,test@email.edu,Y,Y
OLE1117,OLE1117,OLE4069,PERSON,WRK,test@email.edu,Y,Y
OLE1118,OLE1118,OLE4070,PERSON,WRK,test@email.edu,Y,Y
OLE1119,OLE1119,OLE4071,PERSON,WRK,test@email.edu,Y,Y
OLE1120,OLE1120,OLE4072,PERSON,WRK,test@email.edu,Y,Y
OLE1121,OLE1121,OLE4078,PERSON,WRK,test@email.edu,Y,Y
OLE1122,OLE1122,OLE4079,PERSON,WRK,test@email.edu,Y,Y
OLE1123,OLE1123,OLE4080,PERSON,WRK,test@email.edu,Y,Y
OLE1124,OLE1124,OLE4081,PERSON,WRK,test@email.edu,Y,Y
OLE1125,OLE1125,OLE4082,PERSON,WRK,test@email.edu,Y,Y
OLE1126,OLE1126,OLE4088,PERSON,WRK,test@email.edu,Y,Y
OLE1127,OLE1127,OLE4089,PERSON,WRK,test@email.edu,Y,Y
OLE1128,OLE1128,OLE4090,PERSON,WRK,test@email.edu,Y,Y
OLE1129,OLE1129,OLE4091,PERSON,WRK,test@email.edu,Y,Y
OLE1130,OLE1130,OLE4092,PERSON,WRK,test@email.edu,Y,Y
OLE1131,OLE1131,OLE4098,PERSON,WRK,test@email.edu,Y,Y
OLE1132,OLE1132,OLE4099,PERSON,WRK,test@email.edu,Y,Y
OLE1133,OLE1133,OLE4100,PERSON,WRK,test@email.edu,Y,Y
OLE1134,OLE1134,OLE4101,PERSON,WRK,test@email.edu,Y,Y
OLE1135,OLE1135,OLE4107,PERSON,WRK,test@email.edu,Y,Y
OLE1136,OLE1136,OLE4108,PERSON,WRK,test@email.edu,Y,Y
OLE1137,OLE1137,OLE4109,PERSON,WRK,test@email.edu,Y,Y
OLE1138,OLE1138,OLE4110,PERSON,WRK,test@email.edu,Y,Y
OLE1139,OLE1139,OLE4111,PERSON,WRK,test@email.edu,Y,Y
OLE1140,OLE1140,olequickstart,PERSON,WRK,test@email.edu,Y,Y
