ENTITY_EXT_ID_ID,OBJ_ID,ENTITY_ID,EXT_ID_TYP_CD,EXT_ID
OLE4200,OLE4200,OLE1000,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4201,OLE4201,OLE1001,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4202,OLE4202,OLE1002,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4203,OLE4203,OLE1003,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4204,OLE4204,OLE1004,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4205,OLE4205,OLE1005,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4206,OLE4206,OLE1006,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4207,OLE4207,OLE1007,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4208,OLE4208,OLE1008,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4209,OLE4209,OLE1009,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4210,OLE4210,OLE1010,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4211,OLE4211,OLE1011,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4212,OLE4212,OLE1012,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4213,OLE4213,OLE1013,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4214,OLE4214,OLE1014,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4215,OLE4215,OLE1015,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4216,OLE4216,OLE1016,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4217,OLE4217,OLE1017,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4218,OLE4218,OLE1018,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4219,OLE4219,OLE1019,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4220,OLE4220,OLE1020,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4221,OLE4221,OLE1021,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4222,OLE4222,OLE1022,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4223,OLE4223,OLE1023,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4224,OLE4224,OLE1024,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4225,OLE4225,OLE1025,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4226,OLE4226,OLE1026,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4227,OLE4227,OLE1027,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4228,OLE4228,OLE1028,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4229,OLE4229,OLE1029,TAX,XBy8HbA0p2kc3lalnjPKpA==
OLE4230,OLE4230,OLE1030,TAX,XBy8HbA0p2kc3lalnjPKpA==
