ENTITY_NM_ID,OBJ_ID,ENTITY_ID,NM_TYP_CD,FIRST_NM,MIDDLE_NM,LAST_NM,SUFFIX_NM,TITLE_NM,DFLT_IND,ACTV_IND
OLE2,OLE2,OLE2,PRFR,OLE,,Admin,,,Y,Y
OLE1000,OLE1000,OLE1000,PRFR,DELLA,Y,WOODS,,,Y,Y
OLE1001,OLE1001,OLE1001,PRFR,JAY,H,HOULIHAN,,,Y,Y
OLE1002,OLE1002,OLE1002,PRFR,RAYMOND,B,PAULIN,,,Y,Y
OLE1003,OLE1003,OLE1003,PRFR,INEZ,D,CHEW,,,Y,Y
OLE1004,OLE1004,OLE1004,PRFR,NICHOLAS,Y,MAJORS,,,Y,Y
OLE1005,OLE1005,OLE1005,PRFR,DOMINIC,O,NUGENT,,,Y,Y
OLE1006,OLE1006,OLE1006,PRFR,MARLON,B,SHORTER,,,Y,Y
OLE1007,OLE1007,OLE1007,PRFR,MARGUERITE,H,UNDERWOOD,,,Y,Y
OLE1008,OLE1008,OLE1008,PRFR,HIRAM,W,EUBANK,,,Y,Y
OLE1009,OLE1009,OLE1009,PRFR,LLOYD,V,BARGER,,,Y,Y
OLE1010,OLE1010,OLE1010,PRFR,JUANA,C,KAHLER,,,Y,Y
OLE1011,OLE1011,OLE1011,PRFR,ELBA,B,BYLER,,,Y,Y
OLE1012,OLE1012,OLE1012,PRFR,ALAN,E,MCAFEE,,,Y,Y
OLE1013,OLE1013,OLE1013,PRFR,HENRY,F,WESTFALL,,,Y,Y
OLE1014,OLE1014,OLE1014,PRFR,BURT,B,SHANKLE,,,Y,Y
OLE1015,OLE1015,OLE1015,PRFR,ROBERTA,L,FERLAND,,,Y,Y
OLE1016,OLE1016,OLE1016,PRFR,KENDRICK,H,CRABTREE,,,Y,Y
OLE1017,OLE1017,OLE1017,PRFR,OLIVE,P,FELKER,,,Y,Y
OLE1018,OLE1018,OLE1018,PRFR,AUDREY,F,MARTIN,,,Y,Y
OLE1019,OLE1019,OLE1019,PRFR,EVERETTE,W,STERNER,,,Y,Y
OLE1020,OLE1020,OLE1020,PRFR,CORINA,H,BAYLESS,,,Y,Y
OLE1021,OLE1021,OLE1021,PRFR,THEODORE,M,KATO,,,Y,Y
OLE1022,OLE1022,OLE1022,PRFR,CLAUDIA,P,HOVIS,,,Y,Y
OLE1023,OLE1023,OLE1023,PRFR,RAFAEL,N,MCINTYRE,,,Y,Y
OLE1024,OLE1024,OLE1024,PRFR,EMORY,W,EAGLE,,,Y,Y
OLE1025,OLE1025,OLE1025,PRFR,OPAL,V,BLOOD,,,Y,Y
OLE1026,OLE1026,OLE1026,PRFR,MITZI,J,POND,,,Y,Y
OLE1027,OLE1027,OLE1027,PRFR,ANGELICA,C,FLAHERTY,,,Y,Y
OLE1028,OLE1028,OLE1028,PRFR,MASON,U,KOSS,,,Y,Y
OLE1029,OLE1029,OLE1029,PRFR,ORA,U,MCEACHERN,,,Y,Y
OLE1030,OLE1030,OLE1030,PRFR,WM,T,ACUNA,,,Y,Y
OLE1031,OLE1031,OLE1031,PRFR,MARITZA,D,SCHULTE,,,Y,Y
OLE1032,OLE1032,OLE1032,PRFR,OLIVER,M,DEVRIES,,,Y,Y
OLE1033,OLE1033,OLE1033,PRFR,DARREN,X,DEVANEY,,,Y,Y
OLE1035,OLE1035,OLE1035,PRFR,LOGAN,V,CLINKSCALES,,,Y,Y
OLE1036,OLE1036,OLE1036,PRFR,ANTWAN,I,BRUNELLE,,,Y,Y
OLE1037,OLE1037,OLE1037,PRFR,CONCETTA,N,BERNAL,,,Y,Y
OLE1038,OLE1038,OLE1038,PRFR,BARBRA,L,BORST,,,Y,Y
OLE1039,OLE1039,OLE1039,PRFR,WALLACE,W,SOILEAU,,,Y,Y
OLE1040,OLE1040,OLE1040,PRFR,ALTHEA,Q,BURD,,,Y,Y
OLE1041,OLE1041,OLE1041,PRFR,LOUELLA,S,ENGEL,,,Y,Y
OLE1042,OLE1042,OLE1042,PRFR,FAYE,L,HEADLEY,,,Y,Y
OLE1043,OLE1043,OLE1043,PRFR,RONDA,P,GAILEY,,,Y,Y
OLE1044,OLE1044,OLE1044,PRFR,IVAN,X,SHIELDS,,,Y,Y
OLE1045,OLE1045,OLE1045,PRFR,OLIVER,M,ELGIN,,,Y,Y
OLE1046,OLE1046,OLE1046,PRFR,BEATRIZ,R,BOMAN,,,Y,Y
OLE1047,OLE1047,OLE1047,PRFR,TREVOR,N,DUGGINS,,,Y,Y
OLE1048,OLE1048,OLE1048,PRFR,KELLY,H,OWENS,,,Y,Y
OLE1049,OLE1049,OLE1049,PRFR,NOELLE,R,DARR,,,Y,Y
OLE1050,OLE1050,OLE1050,PRFR,CECILE,Z,CARY,,,Y,Y
OLE1052,OLE1052,OLE1052,PRFR,DAMON,Q,RALSTON,,,Y,Y
OLE1053,OLE1053,OLE1053,PRFR,MERRILL,W,MARTIN,,,Y,Y
OLE1054,OLE1054,OLE1054,PRFR,BERT,Z,PALLADINO,,,Y,Y
OLE1055,OLE1055,OLE1055,PRFR,CHERYL,M,DUNKLE,,,Y,Y
OLE1056,OLE1056,OLE1056,PRFR,CARL,S,CHASE,,,Y,Y
OLE1057,OLE1057,OLE1057,PRFR,KRISTOPHER,G,WEIS,,,Y,Y
OLE1058,OLE1058,OLE1058,PRFR,AMY,J,LINDHOLM,,,Y,Y
OLE1059,OLE1059,OLE1059,PRFR,AMELIA,M,MUNFORD,,,Y,Y
OLE1060,OLE1060,OLE1060,PRFR,TRACIE,M,HAVILAND,,,Y,Y
OLE1061,OLE1061,OLE1061,PRFR,MELISSA,L,THEISS,,,Y,Y
OLE1062,OLE1062,OLE1062,PRFR,SAMMIE,U,PICKARD,,,Y,Y
OLE1063,OLE1063,OLE1063,PRFR,MERCEDES,D,BIRD,,,Y,Y
OLE1064,OLE1064,OLE1064,PRFR,AVIS,B,DUNSON,,,Y,Y
OLE1065,OLE1065,OLE1065,PRFR,AL,S,GRINDLE,,,Y,Y
OLE1066,OLE1066,OLE1066,PRFR,LEONEL,X,BILLER,,,Y,Y
OLE1067,OLE1067,OLE1067,PRFR,KELLI,A,NOLAND,,,Y,Y
OLE1068,OLE1068,OLE1068,PRFR,JOE,G,DANIELSON,,,Y,Y
OLE1069,OLE1069,OLE1069,PRFR,NEWTON,Y,FLESHER,,,Y,Y
OLE1070,OLE1070,OLE1070,PRFR,VANESSA,X,YOON,,,Y,Y
OLE1071,OLE1071,OLE1071,PRFR,MONICA,R,BUNNELL,,,Y,Y
OLE1072,OLE1072,OLE1072,PRFR,MABEL,D,MICHELS,,,Y,Y
OLE1073,OLE1073,OLE1073,PRFR,LAKISHA,T,DURBIN,,,Y,Y
OLE1074,OLE1074,OLE1074,PRFR,BARRY,R,BLACKWOOD,,,Y,Y
OLE1075,OLE1075,OLE1075,PRFR,SASHA,S,JACOBO,,,Y,Y
OLE1076,OLE1076,OLE1076,PRFR,VONDA,W,BARTH,,,Y,Y
OLE1077,OLE1077,OLE1077,PRFR,NOE,F,FANG,,,Y,Y
OLE1078,OLE1078,OLE1078,PRFR,ALEXANDER,E,SHARMA,,,Y,Y
OLE1079,OLE1079,OLE1079,PRFR,MILLARD,K,RODRIGUEZ,,,Y,Y
OLE1080,OLE1080,OLE1080,PRFR,EUGENIO,P,YON,,,Y,Y
OLE1081,OLE1081,OLE1081,PRFR,DEBORA,Y,EARLEY,,,Y,Y
OLE1082,OLE1082,OLE1082,PRFR,ROBERT,M,ONEIL,,,Y,Y
OLE1083,OLE1083,OLE1083,PRFR,HATTIE,P,STRINGER,,,Y,Y
OLE1084,OLE1084,OLE1084,PRFR,TAMIKA,L,PENROD,,,Y,Y
OLE1085,OLE1085,OLE1085,PRFR,KRIS,Y,JAMISON,,,Y,Y
OLE1086,OLE1086,OLE1086,PRFR,STACIE,U,ARRIAGA,,,Y,Y
OLE1087,OLE1087,OLE1087,PRFR,QUENTIN,G,MEDLEY,,,Y,Y
OLE1088,OLE1088,OLE1088,PRFR,KENDRA,E,KNUDSEN,,,Y,Y
