entity_email_id,obj_id,entity_id,ent_typ_cd,email_typ_cd,email_addr,dflt_ind,actv_ind
OLE2320629,OLE2320629,OLE2320629,PERSON,WRK,alroberts@kuali.org,Y,Y
OLE1000170188,OLE1000170188,OLE1000170188,PERSON,WRK,alsutherland@kuali.org,Y,Y
OLE1000287321,OLE1000287321,OLE1000287321,PERSON,WRK,baanspach@kuali.org,Y,Y
OLE1000028112,OLE1000028112,OLE1000028112,PERSON,WRK,bepasset@kuali.org,Y,Y
OLE1000220136,OLE1000220136,OLE1000220136,PERSON,WRK,brtrotter@kuali.org,Y,Y
OLE1000166506,OLE1000166506,OLE1000166506,PERSON,WRK,brwasserstrom@kuali.org,Y,Y
OLE1000044107,OLE1000044107,OLE1000044107,PERSON,WRK,c.skirvin@kuali.org,Y,Y
OLE1000205926,OLE1000205926,OLE1000205926,PERSON,WRK,cdaniels-howell@kuali.org,Y,Y
OLE2264562,OLE2264562,OLE2264562,PERSON,WRK,chbertenthal@kuali.org,Y,Y
OLE1000274616,OLE1000274616,OLE1000274616,PERSON,WRK,chsosa-buchholz@kuali.org,Y,Y
OLE1000078945,OLE1000078945,OLE1000078945,PERSON,WRK,crmartin@kuali.org,Y,Y
OLE1000071198,OLE1000071198,OLE1000071198,PERSON,WRK,dabiddinger@kuali.org,Y,Y
OLE1000246199,OLE1000246199,OLE1000246199,PERSON,WRK,daferguson@kuali.org,Y,Y
OLE1000100861,OLE1000100861,OLE1000100861,PERSON,WRK,damartin@kuali.org,Y,Y
OLE1000182151,OLE1000182151,OLE1000182151,PERSON,WRK,darosen@kuali.org,Y,Y
OLE1000092502,OLE1000092502,OLE1000092502,PERSON,WRK,daweaver@kuali.org,Y,Y
OLE1000071200,OLE1000071200,OLE1000071200,PERSON,WRK,debeckemeyer@kuali.org,Y,Y
OLE1000200848,OLE1000200848,OLE1000200848,PERSON,WRK,derydel-johnston@kuali.org,Y,Y
OLE1000242887,OLE1000242887,OLE1000242887,PERSON,WRK,deskopelja@kuali.org,Y,Y
OLE1000023523,OLE1000023523,OLE1000023523,PERSON,WRK,edwallace@kuali.org,Y,Y
OLE1000158148,OLE1000158148,OLE1000158148,PERSON,WRK,elfierman@kuali.org,Y,Y
OLE1000221947,OLE1000221947,OLE1000221947,PERSON,WRK,frlouer@kuali.org,Y,Y
OLE1000150781,OLE1000150781,OLE1000150781,PERSON,WRK,frpuckett@kuali.org,Y,Y
OLE1000119258,OLE1000119258,OLE1000119258,PERSON,WRK,gaclark@kuali.org,Y,Y
OLE1000294420,OLE1000294420,OLE1000294420,PERSON,WRK,gerichards@kuali.org,Y,Y
OLE1000174542,OLE1000174542,OLE1000174542,PERSON,WRK,giobeng@kuali.org,Y,Y
OLE1000140614,OLE1000140614,OLE1000140614,PERSON,WRK,hayork@kuali.org,Y,Y
OLE1000078780,OLE1000078780,OLE1000078780,PERSON,WRK,hedanielson@kuali.org,Y,Y
OLE1000112992,OLE1000112992,OLE1000112992,PERSON,WRK,jaomeara@kuali.org,Y,Y
OLE1000012832,OLE1000012832,OLE1000012832,PERSON,WRK,jawise@kuali.org,Y,Y
OLE1000258582,OLE1000258582,OLE1000258582,PERSON,WRK,jekeirstead@kuali.org,Y,Y
OLE1000208448,OLE1000208448,OLE1000208448,PERSON,WRK,jeroberts@kuali.org,Y,Y
OLE1000022373,OLE1000022373,OLE1000022373,PERSON,WRK,jesteele@kuali.org,Y,Y
OLE1000221510,OLE1000221510,OLE1000221510,PERSON,WRK,jiaudretsch@kuali.org,Y,Y
OLE1000022405,OLE1000022405,OLE1000022405,PERSON,WRK,joatnip@kuali.org,Y,Y
OLE1000072278,OLE1000072278,OLE1000072278,PERSON,WRK,jogerstman@kuali.org,Y,Y
OLE1000126296,OLE1000126296,OLE1000126296,PERSON,WRK,joirwin@kuali.org,Y,Y
OLE1000200032,OLE1000200032,OLE1000200032,PERSON,WRK,jolevinson@kuali.org,Y,Y
