CUST_ID,OBJ_ID,VER_NBR,FIN_COA_CD,UNT_CD,SBUNT_CD,CUST_DESC,CUST_ACTV_IND,CUST_PRCS_EMAIL_ADDR,PMT_THRSHLD_AMT,CUST_PMT_THRSHLD_EMAIL_ADDR,FL_THRSHLD_AMT,CUST_FILE_THRSHLD_EMAIL_ADDR,DFLT_COA_CD,DFLT_ACCT_NBR,DFLT_SUB_ACCT_NBR,DFLT_OBJ_CD,DFLT_SUB_OBJ_CD,ADV_CRTE_IND,ACH_PMT_DESC,ACH_TRANS_TYP,CUST_CNTC_FULL_NM,CUST_LN1_ADDR,CUST_LN2_ADDR,CUST_LN3_ADDR,CUST_LN4_ADDR,CUST_CTY_NM,CUST_ST_CD,CUST_ZIP_CD,CUST_CNTRY_CD,CHK_HDR_NTE_LN1_TXT,CHK_HDR_NTE_LN2_TXT,CHK_HDR_NTE_LN3_TXT,CHK_HDR_NTE_LN4_TXT,ADDL_CHK_NTE_LN1_TXT,ADDL_CHK_NTE_LN2_TXT,ADDL_CHK_NTE_LN3_TXT,ADDL_CHK_NTE_LN4_TXT,ADV_HDR_TXT,ADV_SUBJ_LN_TXT,ADV_RTRN_EMAIL_ADDR,DFLT_PHYS_CMP_PROC_CD,CUST_NRA_RVW_IND,ACCTG_EDIT_REQ_IND,CUST_EMP_CHK_IND,CUST_OWNR_CD_REQ_IND,CUST_PAYEE_ID_REQ_IND,FIN_OBJECT_CD_LBLTY_RLF_CD,ACTV_IND
10000016,33484450098D9196E043814FD8819196,12,BL,LIBM,RAFT,Library,Y,kbatch-l@indiana.edu,100000,kbatch-l@indiana.edu,1000000,kbatch-l@indiana.edu,BL,1031400,-----,5000,---,,This is the ACH Payment Detail Desc,PRAP,Keisha Huntley,500 Kuali Drive,null,null,null,Bloomington,IN,47405,null,Direct Deposit is coming soon!,null,null,null,null,null,null,null,Want to get payments quicker?,Advice Subject,kbatch-l@indiana.edu,BL,N,N,N,N,N,N,N,N
10000017,3E426E5F95A39096E043814FD8819096,4,BL,KUAL,DV,Disbursement Voucher ,Y,kbatch-l@indiana.edu,100000,kbatch-l@indiana.edu,1000000,kbatch-l@indiana.edu,BL,1031400,-----,5000,---,,TEST,PRAP,Keisha Huntley,500 Kuali Place,null,null,null,Bloomington,IN,47405,null,null,null,null,null,null,null,null,null,TEST,TEST,kbatch-l@indiana.edu,BL,N,N,N,N,N,Y,N,N
10000018,3E426E5F95A69096E043814FD8819096,3,EA,KUAL,DV,Disbursement Voucher,Y,kbatch-l@indiana.edu,100000,kbatch-l@indiana.edu,1000000,kbatch-l@indiana.edu,BL,1031400,-----,5000,---,,TEST,PRAP,Keisha Huntley,500 Kuali Place,null,null,null,Bloomington,IN,47405,null,null,null,null,null,null,null,null,null,TEST,TEST,kbatch-l@indiana.edu,BL,N,N,N,N,N,Y,N,N
10000019,3E42871BBD0C80D6E043814FD88180D6,4,IN,KUAL,DV,Disbursement Voucher,Y,kbatch-l@indiana.edu,100000,kbatch-l@indiana.edu,1000000,kbatch-l@indiana.edu,BL,1031400,-----,5000,---,,TEST,PRAP,Keisha Huntley,500 Kuali Place,null,null,null,Bloomington,IN,47405,null,null,null,null,null,null,null,null,null,TEST,TEST,kbatch-l@indiana.edu,IN,N,N,N,N,N,Y,N,N
10000020,3E42871BBD0F80D6E043814FD88180D6,4,KO,KUAL,DV,Disbursement Voucher ,Y,kbatch-l@indiana.edu,100000,kbatch-l@indiana.edu,1000000,kbatch-l@indiana.edu,BL,1031400,-----,5000,---,,TEST,PRAP,Keisha Huntley,500 Kuali Place,null,null,null,Bloomington,IN,47405,null,null,null,null,null,null,null,null,null,TEST,TEST,kbatch-l@indiana.edu,BL,N,N,N,N,N,Y,N,N
10000021,3E42871BBD1280D6E043814FD88180D6,5,NW,KUAL,DV,Disbursement Voucher,Y,kbatch-l@indiana.edu,100000,kbatch-l@indiana.edu,1000000,kbatch-l@indiana.edu,BL,1031400,-----,5000,---,,TEST,PRAP,Keisha Huntley,500 Kuali Place,null,null,null,Bloomington,IN,47405,null,null,null,null,null,null,null,null,null,TEST,TEST,kbatch-l@indiana.edu,BL,N,N,N,N,N,Y,N,N
10000022,3E429B9BA5B4909CE043814FD881909C,5,SB,KUAL,DV,Disbursement Voucher,Y,kbatch-l@indiana.edu,100000,kbatch-l@indiana.edu,1000000,kbatch-l@indiana.edu,BL,1031400,-----,5000,---,,TEST,PRAP,Keisha Huntley,500 Kuali Place,null,null,null,Bloomington,IN,47405,null,null,null,null,null,null,null,null,null,TEST,TEST,kbatch-l@indiana.edu,BL,N,N,N,N,N,Y,N,N
10000023,3E429B9BA5B7909CE043814FD881909C,5,SE,KUAL,DV,Disbursement Voucher,Y,kbatch-l@indiana.edu,100000,kbatch-l@indiana.edu,1000000,kbatch-l@indiana.edu,BL,1031400,-----,5000,---,,TEST,PRAP,Keisha Huntley,500 Kuali Place,null,null,null,Bloomington,IN,47405,null,null,null,null,null,null,null,null,null,TEST,TEST,kbatch-l@indiana.edu,BL,N,N,N,N,N,Y,N,N
10000024,3E42871BBD1580D6E043814FD88180D6,4,UA,KUAL,DV,Disbursement Voucher,Y,kbatch-l@indiana.edu,100000,kbatch-l@indiana.edu,1000000,kbatch-l@indiana.edu,BL,1031400,-----,5000,---,,TEST,PRAP,Keisha Huntley,500 Kuali Place,null,null,null,Bloomington,IN,47405,null,null,null,null,null,null,null,null,null,TEST,TEST,kbatch-l@indiana.edu,BL,N,N,N,N,N,Y,N,N
10000025,3E429B9BA5BA909CE043814FD881909C,3,BL,KUAL,PRAP,Purchasing/Accounts Payable,Y,kbatch-l@indiana.edu,100000,kbatch-l@indiana.edu,1000000,kbatch-l@indiana.edu,BL,1031400,-----,5000,---,,TEST,PRAP,Keisha Huntley,500 Kuali Place,null,null,null,Bloomington,IN,47405,null,null,null,null,null,null,null,null,null,TEST,TEST,kbatch-l@indiana.edu,BL,N,N,N,N,N,Y,N,N
10000026,3E429B9BA5BD909CE043814FD881909C,3,EA,KUAL,PRAP,Purchasing/Accounts Payable,Y,kbatch-l@indiana.edu,100000,kbatch-l@indiana.edu,1000000,kbatch-l@indiana.edu,BL,1031400,-----,5000,---,,TEST,PRAP,Keisha Huntley,500 Kuali Place,null,null,null,Bloomington,IN,47405,null,null,null,null,null,null,null,null,null,TEST,TEST,kbatch-l@indiana.edu,BL,N,N,N,N,N,Y,N,N
10000027,3E42871BBD1880D6E043814FD88180D6,4,IN,KUAL,PRAP,Purchasing/Accounts Payable,Y,kbatch-l@indiana.edu,100000,kbatch-l@indiana.edu,1000000,kbatch-l@indiana.edu,BL,1031400,-----,5000,---,,TEST,PRAP,Keisha Huntley,500 Kuali Place,null,null,null,Bloomington,IN,47405,null,null,null,null,null,null,null,null,null,TEST,TEST,kbatch-l@indiana.edu,IN,N,N,N,N,N,Y,N,N
